Radar Station | produced by | National Film Board of Canada
Joris Jansen Rapelje | birth date | 28 April 1604
Joris Jansen Rapelje | death date | 21 February 1662/63
Joris Jansen Rapelje | member of | Council of Twelve Men
Joris Jansen Rapelje | spouse | Catalina  Trico
Joris Jansen Rapelje | settled in | New Netherland
Catalina  Trico | settled in | New Netherland
Kieft's War | also known as | Wappinger War
Kieft's War | time period | 1643–1645
Kieft's War | involved | earliest settlers of New Netherland
Kieft's War | involved | Lenape population
Kieft's War | location | New York metropolitan area
Kieft's War | named after | Willem Kieft
Willem Kieft | position | Director-General of New Netherland
Willem Kieft | ordered | attack on Lenape
Dutch soldiers | attacked | Lenape camps
Dutch soldiers | massacred | native inhabitants
Dutch soldiers' actions | resulted in | unification of Algonquian tribes
Kieft's War | precipitated | waves of attacks
Dutch West India Company | recalled | Willem Kieft
Willem Kieft | died | while returning to the Netherlands
Peter Stuyvesant | succeeded | Willem Kieft
Algonquians | posed | continuing threat
Dutch settlers | returned | Netherlands
Dutch settlers' return | resulted in | slowed growth of colony
English Neighborhood | located in | Bergen County
English Neighborhood | located between | Hudson River and Hackensack River
English Neighborhood | near | Overpeck Creek
Bergen | main town | Bergen Square
Bergen | meaning | hills
Achter Col | meaning | behind the ridge
Lenape | known as | Hackensack and Tappan
English Neighborhood | historical conflicts | precolonial population
Pound Ridge massacre | part of | Kieft's War
Pound Ridge massacre | occurred in | March 1644
Pound Ridge massacre | combatants | New Netherland
Pound Ridge massacre | combatants | Wappinger Confederacy
New Netherland | commander | John Underhill
New Netherland | size | 130 soldiers
Pound Ridge massacre | result | village destroyed
Wappinger Confederacy | casualties | 500 to 700 killed
Pound Ridge massacre | significance | highest casualties in Kieft's War
Wappinger Confederacy | action after battle | sued for peace
New York | was part of | New Netherland
New Netherland | was under command of | Dutch West India Company
New Netherland | became | melting pot
English forces | ousted | Dutch from control of New Netherland
English forces | was led by | Richard Nicolls
New Netherland | became part of | English colonies
Dutch | retook | New Netherland
New York | remained | English possession
Nine Men | is a | citizens board
Nine Men | is a | form of representational democracy
Nine Men | located in | New Netherland
Nine Men | replaced | Twelve Men
Nine Men | replaced | Eight Men
Petition of the Commonality of New Netherland | signed by | eleven current and former members of the board
Petition of the Commonality of New Netherland | requested | economic freedom
Petition of the Commonality of New Netherland | requested | local government like that in the Netherlands
Petition of the Commonality of New Netherland | requested | removing the colony from the control of the Dutch West India Company
Petition of the Commonality of New Netherland | became the basis for | municipal government
Tomys Swartwout | birth place | Groningen
Tomys Swartwout | death place | Beverwijck
Tomys Swartwout | is one of | earliest importers of tobacco from New Netherland to Western and northern Europe
Tomys Swartwout | is one of | earliest settlers of New Netherland
Tomys Swartwout | is a | founder of Midwood
Midwood | original name | Midwout
Midwood | located in | Brooklyn Grange
Midwood | located in | New York
Council of Twelve Men | formed on | 29 August 1641
Council of Twelve Men | adviser to | Willem Kieft
Council of Twelve Men | purpose | relations with Native Americans
Council of Twelve Men | trigger event | murder of Claes Swits
Council of Twelve Men | historical significance | first representational form of democracy in Dutch colony
Council of Twelve Men | followed by | Eight Men and Nine Men
Rumachenanck | ethnic group | Lenape people
Rumachenanck | inhabited | Palisades in New York and New Jersey
Rumachenanck | time period | 15th/16th century
Rumachenanck | called by settlers | Haverstroo
Haverstroo | meaning | oat straw
Haverstroo | English name | Haverstraw
Haverstraw | describes | part of Rumachenanck territory
Rated X | release year | 2000
Rated X | country of origin | American
Rated X | type | television presenter
Rated X | starring | Charlie Sheen
Rated X | starring | Emilio Estevez
Emilio Estevez | directed | Rated X
Rated X | author | David McCumber
Rated X | chronicles | Mitchell brothers
Mitchell brothers | members | Jim Mitchell
Mitchell brothers | members | Artie Mitchell
Mitchell brothers | pioneered | pornography business
Mitchell brothers | pioneered | strip club business
Mitchell brothers | location | San Francisco
Mitchell brothers | time period | 1970s and 1980s
Rated X | focuses on | Behind the Green Door
Behind the Green Door | produced by | Mitchell brothers
Artie Mitchell | suffered from | drug addiction
Artie Mitchell | murdered by | Jim Mitchell
The Way | release year | 2010
The Way | country of origin | American
The Way | type | drama film
Emilio Estevez | directed | The Way
Emilio Estevez | produced | The Way
Emilio Estevez | wrote | The Way
The Way | starring | Martin Sheen
The Way | starring | Deborah Kara Unger
The Way | starring | James Nesbitt
The Way | starring | Yorick van Wageningen
The Way | starring | Renée Estevez
Wisdom | release year | 1986
Wisdom | country of origin | American
Wisdom | type | romantic crime film
Emilio Estevez | wrote | Wisdom
Emilio Estevez | directed | Wisdom
Emilio Estevez | starred in | Wisdom
Wisdom | starring | Demi Moore
Wisdom | starring | Tom Skerritt
Wisdom | starring | Veronica Cartwright
Tom Skerritt | known for | Alien
Veronica Cartwright | known for | Alien
Wisdom | end credits song | Home Again
Home Again | performed by | Oingo Boingo
Wisdom | score by | Danny Elfman
Culture Clash in AmeriCCa | directed by | Emilio Estevez
Culture Clash in AmeriCCa | release year | 2005
Culture Clash in AmeriCCa | genre | documentary film
Culture Clash in AmeriCCa | content type | anthology of skits and monologues
Culture Clash in AmeriCCa | portrays | diverse American immigrants
Culture Clash in AmeriCCa | inspired by | thousands of interviews
Emilio Estevez | nationality | American
Emilio Estevez | occupation | actor
Emilio Estevez | occupation | director
Emilio Estevez | occupation | writer
Emilio Estevez | member of | Brat Pack
Emilio Estevez | starred in | The Breakfast Club
Emilio Estevez | starred in | St. Elmo's Fire
Emilio Estevez | acted in | The Outsiders
Emilio Estevez | known for | Repo Man
Emilio Estevez | known for | The Mighty Ducks
Emilio Estevez | known for | Stakeout
Emilio Estevez | known for | Maximum Overdrive
Emilio Estevez | known for | Bobby
Emilio Estevez | wrote | Bobby
Emilio Estevez | directed | Bobby
Emilio Estevez | performed in | western television film
Emilio Estevez | acted in | Young Guns
Nightmares | directed by | Joseph Sargent
Nightmares | starring | Emilio Estevez
Nightmares | starring | Lance Henriksen
Nightmares | starring | Cristina Raines
Nightmares | starring | Veronica Cartwright
Nightmares | starring | Richard Masur
Nightmares | genre | horror anthology film
Nightmares | release year | 1983
Nightmares | based on | urban legends
Dollar for the Dead | directed by | Gene Quintano
Dollar for the Dead | written by | Gene Quintano
Dollar for the Dead | starring | Emilio Estevez
Dollar for the Dead | starring | William Forsythe
Dollar for the Dead | starring | Joaquim de Almeida
Dollar for the Dead | starring | Jonathan Banks
Dollar for the Dead | starring | Ed Lauter
Dollar for the Dead | starring | Howie Long
Dollar for the Dead | genre | western television film
Dollar for the Dead | release year | 1998
Dollar for the Dead | broadcast by | TNT
Jordi Mollà | nominated for | Fotogramas de Plata award
Emilio Estevez | starred in | Dollar for the Dead
Emilio Estevez | starred in | Nightmares
Here Not There | created by | Jane Child
Here Not There | released in | 1992
Here Not There | released by | Warner Bros. Records
Jane Child | style | synthesized dance-pop with R&B undercurrents
Here Not There | style | new jack swing rhythms with almost hard rock elements
Jane Child | contributed | Mona Lisa Smiles
Mona Lisa Smiles | featured in | Freejack
Freejack | starred | Emilio Estevez
Joe Estevez | occupation | actor
Joe Estevez | occupation | director
Joe Estevez | occupation | producer
Joe Estevez | sibling | Martin Sheen
Joe Estevez | uncle | Emilio Estevez
Joe Estevez | uncle | Charlie Sheen
Joe Estevez | uncle | Renée Estevez
Joe Estevez | uncle | Ramon Estevez
Bobby | release year | 2006
Bobby | genre | drama film
Bobby | country of origin | American
Bobby | directed by | Emilio Estevez
Bobby | written by | Emilio Estevez
Bobby | stars | Harry Belafonte
Bobby | stars | Joy Bryant
Bobby | stars | Nick Cannon
Bobby | stars | Laurence Fishburne
Bobby | stars | Spencer Garrett
Bobby | stars | Helen Hunt
Bobby | stars | Anthony Hopkins
Bobby | stars | Ashton Kutcher
Bobby | stars | Shia LaBeouf
Bobby | stars | Lindsay Lohan
Bobby | stars | William H. Macy
Bobby | stars | Demi Moore
Bobby | stars | Martin Sheen
Bobby | stars | Christian Slater
Bobby | stars | Sharon Stone
Bobby | stars | Elijah Wood
Bobby | stars | Emilio Estevez
Bobby | depicts | shooting of Robert F. Kennedy
Robert F. Kennedy | position | U.S. Senator
Robert F. Kennedy | victim of | shooting
shooting of Robert F. Kennedy | location | Ambassador Hotel
Ambassador Hotel | location | Los Angeles
Robert F. Kennedy | won | 1968 Democratic Party presidential primary in California
Attorney General of North Carolina | is head of | North Carolina Department of Justice
North Carolina constitution | provides for election of | Attorney General of North Carolina
Attorney General of North Carolina | has duty | provide legal representation and advice to state agencies
Attorney General of North Carolina | may initiate | legal action
Attorney General of North Carolina | may intervene in | legal proceedings
Attorney General of North Carolina | represents | state agencies
Attorney General of North Carolina | represents | citizens of North Carolina
attorney | renders | legal opinions
legal opinions | submitted by | General Assembly
legal opinions | submitted by | Governor
legal opinions | submitted by | state officer
attorney | viewed online | http://www.ncdoj.gov/About-DOJ/Legal-Services/Legal-Opinions.aspx
Eric S. Pistorius | 出生年份 | 1954-1956
Eric S. Pistorius | 职位 | Circuit court Judge
Eric S. Pistorius | 所属法院 | Seventh Circuit of Illinois
Eric S. Pistorius | 曾任职 | attorney at law
Eric S. Pistorius | 专业领域 | personal injury
Eric S. Pistorius | 专业领域 | litigation
Eric S. Pistorius | 专业领域 | criminal defense
Eric S. Pistorius | 专业领域 | collections
Peter Deegan | 职位 | United States Attorney General
Peter Deegan | 所属法院 | United States District Court for the Northern District of Iowa
Peter Deegan | 曾任职 | first assistant U.S. attorney
Peter Deegan | 曾任职 | chief of the criminal division
Peter Deegan | 曾任职 | assistant U.S. attorney in the United States District Court for the Eastern District of Michigan
Peter Deegan | 任职时间 | 2004 to 2006
Peter Deegan | 曾任职 | associate attorney at Murphy Smith and Polk
Peter Deegan | 专业领域 | labor and employment litigation
Peter Deegan | 提名者 | President Donald Trump
Peter Deegan | 确认机构 | United States Senate
Loretta Lynch | full name | Loretta Elizabeth Lynch
Loretta Lynch | profession | attorney
Loretta Lynch | position held | 83rd Attorney General of the United States
Loretta Lynch | appointed by | Barack Obama
Loretta Lynch | succeeded | Eric Holder
Loretta Lynch | position held | United States Attorney for the Eastern District of New York
Loretta Lynch | served under | Clinton administration
Loretta Lynch | served under | Obama administration
Bryan Schroder | profession | attorney
Bryan Schroder | position held | Acting United States Attorney for the United States District Court for the District of Alaska
Bryan Schroder | nominated by | President Donald Trump
Bryan Schroder | worked at | U.S. Attorney's Office in the District of Alaska
Bryan Schroder | position held | first assistant U.S. attorney
Bryan Schroder | position held | chief of the criminal division
Bryan Schroder | position held | anti-terrorism prosecutor
Bryan Schroder | position held | district ethics adviser
Kings County District Attorney | is responsible for | prosecution of violations of the Laws of New York
Kings County District Attorney | serves | Kings County
Kings County | is coterminous with | Borough of Brooklyn
Kings County District Attorney | current office holder | Eric Gonzalez
Synkowce | is located in | Gmina Konstantynów
Synkowce | is located in | Maków County
Synkowce | is located in | Podlaskie Voivodeship
Synkowce | is close to | border with Belarus
Synkowce | distance from | Sokółka 25 km
Synkowce | distance from | Białystok 60 km
Ogony | is located in | Gmina Konstantynów
Ogony | is located in | Maków County
Ogony | is located in | Masovian Voivodeship
Ogony | distance from | Maków Mazowiecki 25 km
Ogony | distance from | Warsaw 87 km
Czarna Dąbrówka | located in | Maków County
Czarna Dąbrówka | located in | Pomeranian Voivodeship
Czarna Dąbrówka | formerly part of | Farther Pomerania
Czarna Dąbrówka | formerly part of | Prussia
Czarna Dąbrówka | distance from | 25 km north of Suwałki
Czarna Dąbrówka | distance from | 71 km west of Gdańsk
Młynarze | located in | Maków County
Młynarze | located in | Masovian Voivodeship
Młynarze | seat of | Gmina Konstantynów
Młynarze | distance from | 25 km north-east of Maków Mazowiecki
Młynarze | distance from | 89 km north of Warsaw
Postawele | located in | Maków County
Postawele | located in | Podlaskie Voivodeship
Postawele | administrative district | Gmina Rutka-Tartak
Postawele | distance from | 25 km north of Suwałki
Postawele | distance from | 133 km north of Białystok
Postawele | close to | border with Lithuania
Antolin | located in | Gmina Konstantynów
Gmina Konstantynów | part of | Biała Podlaska County
Biała Podlaska County | part of | Lublin Voivodeship
Antolin | located in | northern Poland
Antolin | distance from | Biała Podlaska
Antolin | distance from | Lublin
Wujaki | located in | Gmina Rozogi
Gmina Rozogi | part of | Szczytno County
Szczytno County | part of | Warmian-Masurian Voivodeship
Wujaki | located in | northern Poland
Wujaki | distance from | Gmina Rozogi
Wujaki | distance from | Szczytno
Wujaki | distance from | Olsztyn
Lingnan Fine Arts Museum | affiliated with | Academia Sinica
Lingnan Fine Arts Museum | located in | Nangang District
Nangang District | part of | Taipei
Taipei | part of | Taiwan
Everyday | performed by | Ariana Grande
Everyday | features | Future
Everyday | appears on | Dangerous Woman
Everyday | written by | Savan Kotecha
Everyday | written by | Ilya
Everyday | written by | Ariana Grande
Everyday | written by | Future
Everyday | produced by | Ilya
Everyday | genre | electropop
Everyday | genre | trap
Everyday | theme | sexual satisfaction
Everyday | received | mixed to positive reviews
Applause | performed by | Lady Gaga
Applause | part of album | Artpop
Applause | released by | Interscope Records
Applause | written by | Lady Gaga
Applause | written by | DJ White Shadow
Applause | written by | Dino Zisis
Applause | written by | Nick Monson
Applause | produced by | Lady Gaga
Applause | produced by | DJ White Shadow
Applause | produced by | Dino Zisis
Applause | produced by | Nick Monson
Applause | inspired by | fan cheering
Applause | genre | electropop
Applause | genre | Eurodance
Applause | instrumentation | synthesizers
Applause | instrumentation | hi-NRG beats
Applause | lyrics theme | fan adoration
Applause | lyrics theme | performance
World Faith | 类型 | 国际NGO
World Faith | 创始人 | Frank Fredericks
World Faith | 使命 | 结束宗教暴力
World Faith | 活动目标 | 促进跨宗教对话
World Faith | 活动方式 | 社区服务项目
World Faith | 核心理念 | 修订全球和平建设体系
World Faith | 关注重点 | 信仰身份在冲突中的作用
Octobass | is a | bowed string instrument
Octobass | first built in | Paris
Octobass | built by | Jean-Baptiste Vuillaume
Octobass | has | three strings
Octobass | is a larger version of | double bass
Octobass | played using | system of levers and pedals
Hector Berlioz | wrote favorably about | Octobass
Octobass | exists in | Musée de la Musique in Paris
Octobass | exists in | Kunsthistorisches Museum in Vienna
Talk Dirty | performed by | Jason Derulo
Talk Dirty | featured artist | 2 Chainz
Talk Dirty | from album | Tattoos
Talk Dirty | written by | Jason Evigan
Talk Dirty | written by | Sean Douglas
Talk Dirty | written by | Ori Kaplan
Talk Dirty | written by | Tamir Muskat
Talk Dirty | written by | Tomer Yosef
Talk Dirty | written by | Ricky Reed
Talk Dirty | produced by | Ricky Reed
Talk Dirty | samples | Hermetico
Hermetico | from album | Nu Med
Hermetico | performed by | Balkan Beat Box
Talk Dirty | features | Turkish traditional ornamentations
Talk Dirty | features | Zurna
Quogue | was station stop | Montauk Branch
Quogue | belongs to | Long Island Rail Road
Quogue station | moved to | Old Depot Road
second depot | moved to | private location
third depot | built around | 1905
third depot | elevated for | bridge over New York State Route 113
Quogue station | closed due to | low ridership
Quogue station | not cost-effective for | build high-level platforms
Xyloband | 属于 | wristbands
Xyloband | 包含 | light-emitting diodes
Xyloband | 包含 | radio frequency receivers
Xyloband | 可被控制 | software program
RGB version | 属于 | Xyloband
RGB version | 颜色 | any colour on the spectrum
single colour version | 属于 | Xyloband
Xyloband | 首次大规模使用 | Coldplay's 2012 Mylo Xyloto tour
Xyloband | 用途 | synchronized to the music
Jason Regler | 发明 | Xyloband
Jason Regler | 灵感来源 | Coldplay concert
Ask | performed by | the Smiths
Ask | release date | 20 October 1986
Ask | released by | Rough Trade Records
Ask | credited to | Morrissey
Ask | credited to | Johnny Marr
Ask | genre | pop song
Ask | theme | shyness
Ask | theme | release inhibitions
Craig Gannon | claimed authorship | Ask
Fix You | performed by | Coldplay
Fix You | written by | all four members of Coldplay
Fix You | appears on | X&Y
Fix You | instrumentation | organ
Fix You | instrumentation | drummer
Fix You | instrumentation | vocals
Do You | performed by | Miguel
Do You | from album | Kaleidoscope Dream
Do You | written by | Jerry Duplessis
Do You | written by | Arden Altino
Do You | written by | Paul Pesco
Do You | written by | Miguel
Do You | recorded at | Platinum Sound Recording Studios
Do You | genre | A Love Song
Young Romance | directed by | George Melford
Young Romance | produced by | George Melford
Young Romance | based on | play of the same name
Young Romance | screenplay by | William C. deMille
Young Romance | stars | Edith Taliaferro
Young Romance | release year | 1915
Young Romance | film type | silent romance film
Always Audacious | directed by | James Cruze
Always Audacious | written by | Thomas J. Geraghty
Always Audacious | stars | Wallace Reid
Always Audacious | based on | Toujours de l'Audace
Always Audacious | released by | Paramount Pictures
Always Audacious | status | lost film
Out of a Clear Sky | stars | Marguerite Clark
Out of a Clear Sky | directed by | Marshall Neilan
Out of a Clear Sky | based on | novel by Maria Thompson Daviess
Out of a Clear Sky | produced by | Famous Players-Lasky
Out of a Clear Sky | distributed by | Paramount Pictures
Out of a Clear Sky | status | lost film
The Soul of Buddha | directed by | J. Gordon Edwards
The Soul of Buddha | stars | Theda Bara
Theda Bara | wrote | The Soul of Buddha
The Soul of Buddha | produced by | Fox Film Corporation
The Grain of Dust | release year | 1918
The Grain of Dust | country | American
The Grain of Dust | genre | silent romance
The Grain of Dust | directed by | Harry Revier
The Grain of Dust | based on | novel by David Graham Phillips
The Grain of Dust | starred | Lillian Walker
Broadway Love | release year | 1918
Broadway Love | country | American
Broadway Love | genre | silent romance
Broadway Love | directed by | Ida May Park
Broadway Love | starred | Lon Chaney
Broadway Love | preserved in | George Eastman House Motion Picture Collection
A Man's Man | release year | 1918
A Man's Man | country | American
A Man's Man | genre | silent romance
A Man's Man | directed by | Oscar Apfel
A Man's Man | produced by | Peralta Plays
A Man's Man | starred | J. Warren Kerrigan and Lois Wilson
A Man's Man | starred | Lois Wilson
J. Warren Kerrigan and Lois Wilson | famous for | appearing in The Covered Wagon
Old Heidelberg | release year | 1915
Old Heidelberg | country | American
Old Heidelberg | genre | silent romance
Old Heidelberg | directed by | John Emerson
Old Heidelberg | starred | Wallace Reid
Old Heidelberg | starred | Dorothy Gish
Old Heidelberg | starred | Karl Formes
Old Heidelberg | based on | 1901 play Old Heidelberg by Wilhelm Meyer-Förster
Old Heidelberg | number of film versions | five
Old Heidelberg | status | survives
Barbed Wire | release year | 1925-1928
Barbed Wire | country of origin | American
Barbed Wire | film genre | silent romance
Barbed Wire | setting | World War II
Barbed Wire | stars | Pola Negri
Pola Negri | role | French farmgirl
Barbed Wire | stars | Clive Brook
Clive Brook | role | German prisoner of war
French farmgirl | falls in love with | German prisoner of war
Barbed Wire | based on | The Woman of Knockaloe
The Woman of Knockaloe | author | Hall Caine
The Woman of Knockaloe | setting | Isle of Man
Barbed Wire | has adaptation changes | plot alterations
Barbed Wire | has adaptation changes | happy ending
Fort Lee | located in | Bergen County
Fort Lee | located in | New Jersey
Fort Lee | part of | New York metropolitan area
Fort Lee | western terminus of | George Washington Bridge
Fort Lee | located across from | Manhattan
Fort Lee | named after | American Revolutionary War military encampment
Fort Lee | birthplace of | American film industry
Vitor Belfort | nationality | Brazilian
Vitor Belfort | occupation | mixed martial artist
Vitor Belfort | competes in | Middleweight division
Vitor Belfort | member of | Ultimate Fighting Championship
Vitor Belfort | former title | UFC Light Heavyweight Champion
Vitor Belfort | former title | UFC 12 Heavyweight Tournament Champion
Vitor Belfort | former title | Cage Rage World Light Heavyweight Champion
Vitor Belfort | ranking | #11 contender in UFC Middleweight
David Branch | 国籍 | 美国
David Branch | 职业 | 综合格斗运动员
David Branch | 所属组织 | Ultimate Fighting Championship
David Branch | 参赛级别 | 中量级
David Branch | 职业年限 | 2007
David Branch | 曾效力组织 | World Series of Fighting
David Branch | 曾效力组织 | Bellator
David Branch | 曾效力组织 | Shark Fights
David Branch | 曾效力组织 | Titan FC
David Branch | 获得荣誉 | World Series of Fighting轻重量级冠军
David Branch | 世界排名 | 第9中量级选手
Blackzilians | 性质 | 已解散的职业战队
Blackzilians | 运动项目 | 综合格斗运动员
Blackzilians | 运动项目 | 拳击
Blackzilians | 运动项目 | 踢拳
Blackzilians | 运动项目 | 业余摔跤
Blackzilians | 运动项目 | 擒拿摔跤
Blackzilians | 所在地 | 南佛罗里达
Blackzilians | 知名成员 | Rashad Evans
Blackzilians | 知名成员 | Vitor Belfort
Blackzilians | 知名成员 | Eddie Alvarez
Rashad Evans | 获得荣誉 | UFC轻重量级冠军
Vitor Belfort | 获得荣誉 | UFC轻重量级冠军
Eddie Alvarez | 获得荣誉 | UFC轻重量级冠军
Kelvin Gastelum | 出生日期 | 1991-10-24
Kelvin Gastelum | 国籍 | 美国
Kelvin Gastelum | 职业 | 综合格斗运动员
Kelvin Gastelum | 所属组织 | UFC
Kelvin Gastelum | 获得荣誉 | The Ultimate Fighter 17冠军
Kelvin Gastelum | 参赛级别 | 中量级
Kelvin Gastelum | 排名 | UFC中量级第14名
Rashad Evans | 出生日期 | 1979-09-25
Rashad Evans | 国籍 | 美国
Rashad Evans | 职业 | 综合格斗运动员
Rashad Evans | 所属组织 | UFC
Rashad Evans | 参赛级别 | 中量级
Rashad Evans | 职业年限 | 2003年至今
Rashad Evans | 获得荣誉 | The Ultimate Fighter 2重量级冠军
Luke Zachrich | 国籍 | 美国
Luke Zachrich | 职业 | 混合武术家
Luke Zachrich | 曾从事职业 | 职业拳击手
Luke Zachrich | 曾效力组织 | 终极格斗冠军赛
Luke Zachrich | 参赛级别 | 中量级
Luke Zachrich | 参与节目 | The Ultimate Fighter第七季
Luke Zachrich | 曾效力组织 | King of the Cage
Luke Zachrich | 曾效力组织 | Xtreme Fighting Organization
Luke Zachrich | 曾效力组织 | Bellator
Luke Zachrich | 曾效力组织 | Ultimate Victory Challenge
Luke Zachrich | 获得头衔 | Ultimate Victory Challenge中量级冠军
Sam Alvey | 国籍 | 美国
Sam Alvey | 职业 | 混合武术家
Sam Alvey | 效力组织 | 终极格斗冠军赛
Sam Alvey | 参赛级别 | 中量级
Sam Alvey | 曾效力组织 | Bellator
Sam Alvey | 曾效力组织 | King of the Cage
Sam Alvey | 曾效力组织 | MFC
Sam Alvey | 排名 | UFC中量级第14名
Luke Barnatt | 国籍 | 英格兰
Luke Barnatt | 职业 | 综合格斗运动员
Luke Barnatt | 所属组织 | Ultimate Fighting Championship
Luke Barnatt | 体重级别 | 中量级
Luke Barnatt | 身高 | 6英尺6英寸
Luke Barnatt | 昵称 | Bigslow
Luke Barnatt | 当前所属组织 | Absolute Championship Berkut
Jack Marshman | 国籍 | 威尔士
Jack Marshman | 职业 | 综合格斗运动员
Jack Marshman | 昵称 | Hammer
Jack Marshman | 曾获头衔 | Middleweight Cage Warriors Fighting Championship  champion
Jack Marshman | 曾获头衔 | Lonsdale Middleweight Champion
Jack Marshman | 当前所属组织 | Ultimate Fighting Championship
Jack Marshman | 体重级别 | 中量级
Paulo Henrique Costa | also known as | Paulo Borrachinha
Paulo Borrachinha | occupation | mixed martial artist
Paulo Borrachinha | nationality | Brazilian
Paulo Borrachinha | competes in | Middleweight division
Paulo Borrachinha | affiliated with | Ultimate Fighting Championship
Paulo Borrachinha | has partnership with | Clube Atlético Mineiro
Paulo Borrachinha | uses logo of | Clube Atlético Mineiro
Młynarze | located in | Operation Sinaloa
Młynarze | is municipal seat of | Mazatlán Municipality
Młynarze | located on | Pacific coast
Villa Unión | located in | Mazatlán Municipality
Villa Unión | second largest town in | Mazatlán Municipality
Villa Unión | located near | Presidio River
Mitre Department | located in | Argentina
Mitre Department | part of | Santiago del Estero Province
Mitre Department | has capital | Villa Unión
Poanas | is municipality of | Duran Duran
Poanas | has municipal seat | Villa Unión
Poanas | has area | 1841 km²
Mexican Federal Highway 40 | also called | Carretera Interoceánica
Mexican Federal Highway 40 | connects | Młynarze
Villa Unión | located in | Argentina
Villa Unión | main settlement of | Departamento Coronel Felipe Varela
Estado de Occidente | also known as | Sonora y Sinaloa
Estado de Occidente | first governor | Juan Miguel Riesgo
Estado de Occidente | consisted of | modern Sonora and Sinaloa
Estado de Occidente | consisted of | modern Arizona south of the Gila River
Operation Sinaloa | also known as | Operation Culiacan - Navolato
Operation Sinaloa | conducted by | Federal Police
Operation Sinaloa | conducted by | Mexican Armed Forces
Operation Sinaloa | objective | cripple cartel organizations
Operation Sinaloa | targets | Sinaloa Cartel
Operation Sinaloa | targets | Beltrán-Leyva Cartel
Operation Sinaloa | targets | Los Zetas
Operation Sinaloa | triggered by | murder of Édgar Eusebio Millán Gómez
Berber orthography | used for | Berber languages
Libyco-Berber script | also known as | Tifinagh
Libyco-Berber script | used in | antiquity
Libyco-Berber script | found on | rock art
Libyco-Berber script | found in | sepulchres
Arabic script | used by | Berber scholars
Berber languages | current writing systems | Tifinagh
Berber languages | current writing systems | Arabic script
Berber languages | current writing systems | Berber Latin alphabet
writing system preference | influenced by | ideology
writing system preference | influenced by | politics
Madurese language | spoken by | Madurese people
Madurese language | spoken in | Madura Island
Madurese language | spoken in | eastern Java
Madurese language | spoken in | Kangean Islands
Madurese language | spoken in | Sapudi Islands
Madurese language | spoken in | Pasuruan
Madurese language | spoken in | Surabaya
Madurese language | spoken in | Malang
Madurese language | spoken in | Banyuwangi
Madurese language | spoken in | Masalembu Islands
Madurese language | spoken in | Kalimantan
Kangean dialect | may be | separate language
Madurese language | traditionally written in | Javanese script
Madurese language | now written in | Latin script
Madurese language | now written in | Pegon script
Pegon script | based on | Arabic script
Madurese language | number of speakers | 8–13 million
Bawean variant of Madurese | spoken by | Baweanese descendants
Bawean variant of Madurese | spoken in | Malaysia
Bawean variant of Madurese | spoken in | Singapore
Takri script | is a | abugida writing system
Takri script | belongs to | Brahmic family of scripts
Takri script | derived from | Sharada script
Takri script | related to | Gurmukhī script
Dogri | written in | Takri script
Kangri | written in | Takri script
Cahmbeali | written in | Takri script
Mandeali | written in | Takri script
Nepali | has historical records of | Takri script
Western Pahari languages | used | Takri script
Garhwali languages | used | Takri script
Dardic languages | used | Takri script
Gaddi language | used | Takri script
Kashtwari dialect | used | Takri script
Chamiyali language | used | Takri script
Takri script | was prevalent for | business records and communication
aged businessmen | use | Takri
newer generation | shifted to | Devanagari
newer generation | shifted to | English
shift | happened during | 1970s and 1980s
Umbrian | 属于 | Italic language
Umbrian | 使用人群 | Umbri
Umbrian | 使用地区 | Umbria
Umbrian | 语言状态 | extinct
Umbrian | 密切相关 | Oscan group
Umbrian | 属于 | Osco-Umbrian languages
Umbrian languages | 包含 | Umbrian
Rejang script | also known as | Surat Ulu
Rejang script | also known as | KaGaNga script
Rejang script | belongs to | Brahmic family
Rejang script | related to | Batak script
Rejang script | related to | Buginese script
Rejang script | member of | Surat Ulu scripts
Surat Ulu scripts | includes | Bengkulu script
Surat Ulu scripts | includes | Lembak script
Surat Ulu scripts | includes | Lintang script
Surat Ulu scripts | includes | Lebong script
Surat Ulu scripts | includes | Serawai script
Surat Ulu scripts | related to | Kerinci script
Surat Ulu scripts | related to | Lampung script
Rejang script | used before | introduction of Islam
Rejang script | earliest attested document | mid-18th century CE
KaGaNga term | coined by | Mervyn A. Jaspan
Mervyn A. Jaspan | nationality | British
Mervyn A. Jaspan | profession | anthropologist
Mervyn A. Jaspan | lifespan | 1926–1975
Mervyn A. Jaspan | author of | Folk literature of South Sumatra. Redjang Ka-Ga-Nga texts
Berber languages | also known as | Amazigh languages
Berber languages | native name | Młynarze
Berber languages | native name | Temacine Tamazight
Berber languages | writing system | Tifinagh
Berber languages | spoken by | Berbers
Berber languages | branch of | Afroasiatic family
Horpa language | also known as | Stau
Horpa language | Chinese name | 道孚语
Horpa language | Chinese name | 爾龔語
Horpa language | belongs to | Rgyalrongic languages
Horpa language | related to | Horpa Shangzhai
Horpa language | related to | Stodsde skad
Stodsde skad | meaning | language of the people of the far Northwest
Mazanderani | also known as | Tabari
Mazanderani | also known as | Geleki
Mazanderani | language family | Iranian language
Mazanderani | branch | Northwestern branch
Mazanderani | spoken in | Mazandaran
Mazanderani | spoken in | Tehran
Mazanderani | spoken in | Alborz
Mazanderani | spoken in | Semnan
Mazanderani | spoken in | Golestan
